City    ,State   ,WBAN No ,Lat(N)  ,Long(W) ,Elev(m) ,Pres(mb),Stn Type,Year,Month,Flat-Plate Collector Facing South at Fixed Tilt=0,Flat-Plate Collector Facing South at Fixed Tilt=Lat-15,Flat-Plate Collector Facing South at Fixed Tilt=Lat,Flat-Plate Collector Facing South at Fixed Tilt=Lat+15,Flat-Plate Collector Facing South at Fixed Tilt=90,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=0,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat-15,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat+15,2-Axis Tracking Flat-Plate Collector,1-Axis Tracking Concentrating Collector with East-West Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Axis Axis Tilt=Lat,2-Axis Tracking Concentrating Collector
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 1, 1.9, 3.1, 3.5, 3.7, 3.7, 2.8, 3.7, 4.1, 4.3, 4.3, 2.3, 1.5, 2.5, 2.6
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 2, 2.6, 3.9, 4.3, 4.5, 4.2, 3.8, 4.8, 5.1, 5.3, 5.3, 2.9, 2.4, 3.4, 3.5
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 3, 3.6, 4.5, 4.6, 4.6, 3.8, 4.9, 5.6, 5.7, 5.6, 5.7, 2.5, 2.7, 3.3, 3.3
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 4, 4.0, 4.2, 4.1, 3.7, 2.6, 4.7, 4.9, 4.8, 4.6, 5.0, 1.6, 2.0, 2.2, 2.3
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 5, 5.1, 5.1, 4.8, 4.3, 2.7, 6.4, 6.5, 6.3, 5.9, 6.6, 2.7, 3.5, 3.5, 3.7
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 6, 6.0, 5.9, 5.4, 4.7, 2.7, 7.6, 7.7, 7.3, 6.8, 7.8, 3.5, 4.5, 4.3, 4.7
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 7, 5.4, 5.3, 4.9, 4.3, 2.6, 6.9, 7.0, 6.7, 6.3, 7.1, 2.9, 3.9, 3.7, 4.0
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 8, 5.0, 5.3, 5.1, 4.6, 3.0, 6.6, 6.9, 6.7, 6.4, 6.9, 3.1, 4.0, 4.1, 4.3
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61, 9, 4.4, 5.4, 5.4, 5.2, 3.9, 6.2, 7.0, 7.1, 6.9, 7.1, 3.6, 4.2, 4.9, 4.9
BURLINGTON,VT, 14742, 44.47, 73.15,   104,  1003,Primary,61,10, 2.8, 3.9, 4.2, 4.2, 3.5, 4.0, 4.8, 5.0, 5.0, 5.0, 2.8, 2.5, 3.4, 3.4
