City    ,State   ,WBAN No ,Lat(N)  ,Long(W) ,Elev(m) ,Pres(mb),Stn Type,Year,Month,Flat-Plate Collector Facing South at Fixed Tilt=0,Flat-Plate Collector Facing South at Fixed Tilt=Lat-15,Flat-Plate Collector Facing South at Fixed Tilt=Lat,Flat-Plate Collector Facing South at Fixed Tilt=Lat+15,Flat-Plate Collector Facing South at Fixed Tilt=90,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=0,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat-15,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat+15,2-Axis Tracking Flat-Plate Collector,1-Axis Tracking Concentrating Collector with East-West Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Axis Axis Tilt=Lat,2-Axis Tracking Concentrating Collector
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 1, 3.4, 5.0, 5.9, 6.4, 5.8, 5.4, 6.5, 7.2, 7.6, 7.7, 5.3, 4.3, 6.0, 6.4
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 2, 4.5, 5.8, 6.5, 6.8, 5.6, 6.7, 7.8, 8.3, 8.5, 8.5, 5.4, 5.3, 6.6, 6.8
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 3, 5.3, 6.1, 6.4, 6.3, 4.5, 7.3, 8.0, 8.2, 8.2, 8.3, 4.5, 5.3, 6.0, 6.1
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 4, 7.2, 7.6, 7.4, 6.8, 3.7,10.3,10.7,10.6,10.2,10.7, 6.0, 8.3, 8.5, 8.6
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 5, 7.9, 7.9, 7.4, 6.5, 2.9,10.8,10.9,10.6,10.0,11.1, 6.1, 8.2, 7.9, 8.4
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 6, 8.3, 8.1, 7.4, 6.3, 2.5,11.1,11.1,10.6, 9.9,11.3, 6.6, 8.6, 8.0, 8.7
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 7, 7.8, 7.7, 7.2, 6.2, 2.6,10.5,10.5,10.1, 9.4,10.7, 6.0, 7.9, 7.5, 8.0
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 8, 6.8, 7.1, 6.8, 6.2, 3.2, 9.1, 9.4, 9.3, 8.8, 9.4, 5.0, 6.5, 6.5, 6.8
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61, 9, 6.0, 6.8, 7.0, 6.7, 4.3, 8.6, 9.3, 9.4, 9.2, 9.4, 5.2, 6.6, 7.2, 7.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61,10, 5.1, 6.4, 7.0, 7.2, 5.6, 7.8, 8.8, 9.2, 9.3, 9.3, 5.8, 6.3, 7.5, 7.6
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61,11, 3.3, 4.4, 5.0, 5.3, 4.7, 4.8, 5.6, 6.1, 6.3, 6.4, 3.8, 3.3, 4.4, 4.7
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,61,12, 2.9, 4.3, 5.1, 5.5, 5.1, 4.5, 5.6, 6.1, 6.5, 6.6, 4.5, 3.5, 4.9, 5.3
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 1, 3.1, 4.5, 5.2, 5.6, 5.0, 4.8, 5.7, 6.3, 6.6, 6.7, 4.3, 3.5, 4.8, 5.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 2, 4.2, 5.5, 6.2, 6.4, 5.3, 6.4, 7.4, 7.9, 8.1, 8.1, 4.9, 4.9, 6.1, 6.3
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 3, 5.4, 6.4, 6.6, 6.5, 4.6, 7.8, 8.5, 8.7, 8.7, 8.8, 4.7, 5.7, 6.5, 6.5
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 4, 6.9, 7.4, 7.3, 6.8, 3.8, 9.9,10.3,10.2, 9.8,10.3, 5.4, 7.3, 7.6, 7.7
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 5, 8.3, 8.3, 7.7, 6.8, 2.9,11.8,11.9,11.6,10.9,12.1, 7.1, 9.7, 9.3, 9.9
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 6, 8.4, 8.2, 7.5, 6.4, 2.5,11.5,11.4,10.9,10.2,11.6, 6.8, 9.0, 8.4, 9.1
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 7, 7.2, 7.2, 6.7, 5.8, 2.6, 9.1, 9.1, 8.8, 8.2, 9.3, 4.8, 6.1, 5.7, 6.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 8, 7.4, 7.7, 7.4, 6.7, 3.4,10.3,10.6,10.4, 9.9,10.6, 6.0, 7.9, 8.0, 8.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62, 9, 5.5, 6.1, 6.1, 5.9, 3.7, 7.4, 7.9, 8.0, 7.8, 8.0, 4.2, 5.3, 5.8, 5.8
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62,10, 4.9, 6.2, 6.8, 6.9, 5.4, 7.4, 8.4, 8.8, 8.9, 8.9, 5.5, 5.9, 7.1, 7.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62,11, 3.6, 5.0, 5.7, 6.1, 5.3, 5.4, 6.4, 7.0, 7.3, 7.3, 4.8, 4.2, 5.6, 5.9
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,62,12, 3.1, 4.7, 5.6, 6.2, 5.7, 5.0, 6.2, 6.9, 7.3, 7.4, 5.2, 4.1, 5.7, 6.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 1, 3.4, 5.0, 5.8, 6.3, 5.8, 5.4, 6.6, 7.2, 7.6, 7.7, 5.3, 4.3, 5.9, 6.3
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 2, 4.3, 5.7, 6.3, 6.6, 5.4, 6.6, 7.6, 8.1, 8.3, 8.3, 5.2, 5.2, 6.5, 6.7
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 3, 5.7, 6.7, 7.0, 6.9, 4.9, 8.2, 8.9, 9.2, 9.1, 9.2, 5.1, 6.1, 6.9, 6.9
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 4, 7.1, 7.5, 7.4, 6.9, 3.8,10.1,10.5,10.5,10.1,10.6, 5.7, 7.7, 8.0, 8.1
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 5, 7.7, 7.7, 7.2, 6.3, 2.8,10.5,10.6,10.3, 9.7,10.7, 5.8, 7.9, 7.6, 8.0
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 6, 8.4, 8.0, 7.3, 6.2, 2.4,11.6,11.4,11.0,10.3,11.8, 6.7, 9.0, 8.4, 9.2
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 7, 7.5, 7.4, 6.9, 6.0, 2.6, 9.8, 9.8, 9.4, 8.8, 9.9, 5.3, 6.9, 6.5, 7.0
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 8, 6.7, 6.9, 6.7, 6.1, 3.2, 8.6, 8.9, 8.7, 8.3, 8.9, 4.7, 5.9, 5.9, 6.1
ALBUQUERQUE,NM, 23050, 35.05,106.62,  1619,   838,Primary,63, 9, 6.1, 6.8, 7.0, 6.7, 4.3, 8.4, 9.1, 9.2, 9.0, 9.2, 5.2, 6.4, 7.0, 7.0
