City    ,State   ,WBAN No ,Lat(N)  ,Long(W) ,Elev(m) ,Pres(mb),Stn Type,Year,Month,Flat-Plate Collector Facing South at Fixed Tilt=0,Flat-Plate Collector Facing South at Fixed Tilt=Lat-15,Flat-Plate Collector Facing South at Fixed Tilt=Lat,Flat-Plate Collector Facing South at Fixed Tilt=Lat+15,Flat-Plate Collector Facing South at Fixed Tilt=90,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=0,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat-15,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat,1-Axis Tracking Flat-Plate Collector with North-South Axis Axis Tilt=Lat+15,2-Axis Tracking Flat-Plate Collector,1-Axis Tracking Concentrating Collector with East-West Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Horizontal Axis,1-Axis Tracking Concentrating Collector with North-South Axis Axis Tilt=Lat,2-Axis Tracking Concentrating Collector
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 1, 1.7, 2.8, 3.1, 3.3, 3.0, 2.4, 3.2, 3.5, 3.6, 3.7, 2.1, 1.4, 2.3, 2.5
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 2, 2.3, 3.0, 3.2, 3.3, 2.8, 3.0, 3.6, 3.8, 3.8, 3.8, 1.7, 1.5, 2.0, 2.1
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 3, 3.5, 4.2, 4.3, 4.1, 3.2, 4.5, 5.1, 5.2, 5.1, 5.2, 2.2, 2.5, 3.0, 3.0
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 4, 5.2, 5.9, 5.8, 5.4, 3.7, 7.3, 7.9, 7.8, 7.5, 7.9, 3.7, 4.7, 5.2, 5.2
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 5, 5.8, 5.8, 5.4, 4.8, 2.9, 7.6, 7.8, 7.5, 7.1, 7.9, 3.4, 4.6, 4.5, 4.8
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 6, 7.7, 7.5, 6.8, 5.8, 3.2,10.9,10.9,10.5, 9.9,11.3, 6.3, 8.5, 8.1, 8.8
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 7, 8.1, 8.0, 7.4, 6.4, 3.5,11.8,12.0,11.6,11.0,12.3, 7.2, 9.7, 9.4,10.1
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 8, 6.3, 6.8, 6.6, 5.9, 3.8, 9.1, 9.6, 9.4, 8.9, 9.6, 5.1, 6.7, 6.9, 7.2
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61, 9, 5.2, 6.5, 6.6, 6.3, 4.7, 7.9, 8.9, 9.1, 8.9, 9.1, 5.0, 6.2, 7.1, 7.1
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61,10, 3.3, 4.6, 4.9, 5.0, 4.2, 4.9, 5.9, 6.2, 6.2, 6.2, 3.5, 3.3, 4.4, 4.4
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61,11, 2.1, 3.3, 3.7, 3.9, 3.5, 3.1, 4.0, 4.3, 4.5, 4.5, 2.7, 2.0, 3.1, 3.2
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,61,12, 1.4, 2.3, 2.6, 2.7, 2.6, 2.0, 2.6, 2.9, 3.0, 3.1, 1.8, 1.1, 1.8, 2.0
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 1, 1.9, 3.3, 3.8, 4.1, 4.0, 3.0, 4.1, 4.5, 4.7, 4.8, 2.8, 1.9, 3.1, 3.3
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 2, 2.3, 3.2, 3.5, 3.5, 3.0, 3.2, 3.9, 4.1, 4.2, 4.2, 2.1, 1.9, 2.6, 2.7
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 3, 3.6, 4.4, 4.5, 4.4, 3.4, 5.0, 5.7, 5.8, 5.6, 5.8, 2.7, 3.1, 3.7, 3.7
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 4, 5.8, 6.6, 6.5, 6.0, 4.1, 8.2, 8.9, 8.8, 8.5, 8.9, 4.5, 5.8, 6.3, 6.4
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 5, 5.7, 5.8, 5.4, 4.8, 2.9, 7.6, 7.7, 7.5, 7.0, 7.8, 3.3, 4.5, 4.5, 4.7
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 6, 7.8, 7.5, 6.9, 5.9, 3.2,11.1,11.2,10.8,10.1,11.5, 6.4, 8.6, 8.2, 8.9
REDMOND,OR, 24230, 44.27,121.15,   940,   909,Primary,62, 7, 8.0, 8.0, 7.4, 6.3, 3.5,11.5,11.8,11.4,10.7,12.0, 6.9, 9.3, 9.0, 9.6
