"City:    ","BOULDER               "
"State:   ","CO"
"WBAN No: ", 94018
"Lat(N):  ", 40.02
"Long(W): ",105.25
"Elev(m): ",  1634
"Pres(mb):",   836
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
63,10, 3.9, 5.3, 5.8, 5.9, 4.8, 6.0, 7.0, 7.4, 7.4, 7.5, 4.5, 4.6, 5.7, 5.8
63,11, 2.8, 4.5, 5.1, 5.5, 5.0, 4.4, 5.6, 6.2, 6.4, 6.5, 4.3, 3.3, 4.8, 5.1
63,12, 2.2, 3.7, 4.3, 4.7, 4.5, 3.5, 4.6, 5.1, 5.4, 5.5, 3.6, 2.5, 3.8, 4.2
64, 1, 2.5, 4.2, 4.9, 5.3, 4.9, 4.1, 5.3, 5.8, 6.1, 6.2, 4.2, 3.0, 4.6, 4.9
64, 2, 3.3, 4.6, 5.1, 5.4, 4.7, 4.9, 5.9, 6.3, 6.5, 6.4, 3.7, 3.3, 4.4, 4.6
64, 3, 4.7, 5.7, 6.0, 5.9, 4.6, 6.6, 7.4, 7.6, 7.6, 7.7, 4.0, 4.5, 5.3, 5.3
64, 4, 6.0, 6.5, 6.4, 6.0, 3.8, 8.3, 8.9, 8.8, 8.5, 8.9, 4.4, 5.9, 6.2, 6.3
64, 5, 6.4, 6.5, 6.1, 5.4, 3.0, 8.5, 8.6, 8.4, 7.9, 8.7, 4.2, 5.5, 5.4, 5.7
64, 6, 6.9, 6.7, 6.2, 5.3, 2.6, 9.3, 9.2, 8.9, 8.3, 9.5, 4.8, 6.4, 6.1, 6.6
64, 7, 7.0, 6.9, 6.4, 5.6, 2.8, 9.5, 9.6, 9.2, 8.7, 9.8, 5.1, 6.8, 6.5, 7.0
64, 8, 6.1, 6.6, 6.3, 5.8, 3.4, 8.4, 8.8, 8.7, 8.3, 8.8, 4.5, 5.8, 6.0, 6.2
64, 9, 5.1, 6.1, 6.2, 6.0, 4.2, 7.4, 8.1, 8.2, 8.0, 8.2, 4.5, 5.5, 6.2, 6.2
64,10, 4.1, 5.8, 6.3, 6.4, 5.3, 6.5, 7.7, 8.1, 8.2, 8.2, 5.1, 5.2, 6.6, 6.6
64,11, 2.6, 3.8, 4.4, 4.6, 4.2, 3.8, 4.8, 5.2, 5.4, 5.4, 3.3, 2.6, 3.7, 3.9
64,12, 2.0, 3.3, 3.8, 4.1, 3.9, 3.0, 4.0, 4.4, 4.7, 4.7, 3.0, 2.0, 3.2, 3.5
65, 1, 2.3, 3.5, 4.0, 4.3, 4.0, 3.4, 4.3, 4.7, 5.0, 5.0, 3.0, 2.2, 3.3, 3.6
65, 2, 3.3, 4.7, 5.2, 5.4, 4.9, 5.0, 6.0, 6.4, 6.5, 6.5, 3.5, 3.2, 4.3, 4.4
65, 3, 4.6, 5.6, 5.9, 5.8, 4.6, 6.5, 7.3, 7.5, 7.5, 7.5, 3.8, 4.3, 5.1, 5.1
65, 4, 5.7, 6.2, 6.1, 5.7, 3.6, 7.7, 8.2, 8.2, 7.8, 8.3, 4.2, 5.3, 5.7, 5.8
65, 5, 6.1, 6.2, 5.8, 5.2, 2.8, 8.2, 8.3, 8.1, 7.6, 8.4, 4.0, 5.4, 5.3, 5.5
65, 6, 6.5, 6.3, 5.8, 5.0, 2.5, 8.5, 8.5, 8.1, 7.6, 8.7, 4.3, 5.7, 5.3, 5.8
65, 7, 6.6, 6.6, 6.1, 5.3, 2.7, 8.7, 8.7, 8.4, 7.9, 8.9, 4.6, 5.9, 5.7, 6.1
