"City:    ","GRAND JUNCTION        "
"State:   ","CO"
"WBAN No: ", 23066
"Lat(N):  ", 39.12
"Long(W): ",108.53
"Elev(m): ",  1475
"Pres(mb):",   853
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 2.9, 4.8, 5.7, 6.2, 5.8, 4.8, 6.2, 6.9, 7.3, 7.4, 5.3, 4.0, 5.8, 6.3
61, 2, 3.4, 4.7, 5.2, 5.3, 4.5, 5.0, 5.9, 6.3, 6.4, 6.5, 3.8, 3.4, 4.6, 4.7
61, 3, 4.3, 5.2, 5.4, 5.3, 3.9, 6.0, 6.6, 6.8, 6.7, 6.8, 3.3, 3.8, 4.5, 4.5
61, 4, 5.9, 6.4, 6.3, 5.8, 3.6, 8.2, 8.7, 8.6, 8.3, 8.7, 4.3, 5.7, 6.0, 6.1
61, 5, 7.0, 7.1, 6.6, 5.8, 3.0, 9.8, 9.9, 9.6, 9.1,10.1, 5.3, 7.2, 7.1, 7.5
61, 6, 7.9, 7.6, 7.0, 6.0, 2.8,11.0,11.0,10.6, 9.9,11.3, 6.2, 8.4, 7.9, 8.6
61, 7, 7.2, 7.1, 6.6, 5.7, 2.8, 9.6, 9.6, 9.3, 8.7, 9.8, 5.2, 6.8, 6.5, 6.9
61, 8, 6.4, 6.7, 6.5, 5.9, 3.4, 8.7, 9.1, 8.9, 8.5, 9.1, 4.7, 6.2, 6.3, 6.5
61, 9, 4.9, 5.7, 5.8, 5.6, 3.8, 7.0, 7.7, 7.7, 7.6, 7.8, 4.0, 5.0, 5.6, 5.6
61,10, 4.1, 5.5, 5.9, 6.0, 4.8, 6.2, 7.2, 7.6, 7.6, 7.6, 4.6, 4.7, 5.9, 6.0
61,11, 2.8, 4.2, 4.7, 5.0, 4.5, 4.3, 5.3, 5.7, 5.9, 6.0, 3.8, 3.2, 4.4, 4.6
61,12, 2.3, 3.6, 4.2, 4.6, 4.4, 3.5, 4.4, 4.9, 5.3, 5.3, 3.3, 2.3, 3.6, 3.9
62, 1, 2.7, 4.3, 5.1, 5.5, 5.3, 4.4, 5.6, 6.2, 6.5, 6.6, 4.3, 3.2, 4.7, 5.0
62, 2, 3.0, 4.0, 4.3, 4.4, 3.8, 4.1, 4.9, 5.1, 5.2, 5.3, 2.8, 2.5, 3.4, 3.5
62, 3, 4.8, 5.9, 6.1, 6.0, 4.5, 7.0, 7.8, 8.0, 7.9, 8.0, 4.2, 5.0, 5.8, 5.8
62, 4, 6.5, 7.2, 7.1, 6.6, 4.0, 9.2, 9.8, 9.7, 9.4, 9.8, 5.3, 7.0, 7.3, 7.5
62, 5, 6.7, 6.7, 6.3, 5.6, 3.0, 9.1, 9.2, 8.9, 8.4, 9.3, 4.5, 6.1, 5.9, 6.3
62, 6, 7.8, 7.5, 6.8, 5.8, 2.7,10.9,10.9,10.5, 9.8,11.2, 6.2, 8.4, 7.9, 8.6
62, 7, 7.4, 7.3, 6.8, 5.9, 2.8,10.4,10.4,10.1, 9.5,10.6, 5.8, 7.8, 7.4, 8.0
62, 8, 6.9, 7.3, 7.1, 6.4, 3.6, 9.9,10.3,10.2, 9.7,10.4, 5.8, 7.8, 7.9, 8.1
62, 9, 5.7, 6.6, 6.8, 6.5, 4.4, 8.4, 9.2, 9.3, 9.1, 9.4, 5.3, 6.8, 7.5, 7.5
62,10, 4.4, 6.0, 6.5, 6.7, 5.4, 6.9, 8.1, 8.5, 8.6, 8.6, 5.4, 5.6, 7.0, 7.1
62,11, 3.0, 4.6, 5.2, 5.6, 5.0, 4.8, 5.9, 6.4, 6.7, 6.7, 4.4, 3.6, 5.1, 5.3
62,12, 2.5, 4.2, 4.9, 5.4, 5.2, 4.1, 5.4, 6.0, 6.4, 6.5, 4.5, 3.2, 4.8, 5.2
63, 1, 2.7, 4.1, 4.8, 5.2, 5.1, 4.1, 5.2, 5.7, 6.0, 6.1, 3.6, 2.7, 4.0, 4.2
63, 2, 3.6, 5.0, 5.5, 5.8, 4.9, 5.4, 6.5, 6.9, 7.1, 7.1, 4.3, 4.0, 5.3, 5.4
63, 3, 4.8, 5.8, 6.0, 5.9, 4.4, 7.0, 7.8, 7.9, 7.9, 8.0, 4.3, 5.1, 5.9, 5.9
