"City:    ","FLINT                 "
"State:   ","MI"
"WBAN No: ", 14826
"Lat(N):  ", 42.97
"Long(W): ", 83.73
"Elev(m): ",   233
"Pres(mb):",   988
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
61, 1, 1.6, 2.4, 2.7, 2.8, 2.6, 2.3, 2.9, 3.1, 3.2, 3.3, 1.6, 1.2, 1.8, 1.9
61, 2, 2.2, 3.0, 3.2, 3.3, 2.9, 2.8, 3.4, 3.6, 3.7, 3.7, 1.7, 1.4, 2.0, 2.0
61, 3, 3.1, 3.7, 3.8, 3.6, 2.8, 4.1, 4.5, 4.6, 4.5, 4.6, 1.8, 2.1, 2.5, 2.5
61, 4, 3.5, 3.7, 3.5, 3.2, 2.2, 4.2, 4.4, 4.3, 4.1, 4.4, 1.2, 1.7, 1.8, 1.8
61, 5, 5.7, 5.7, 5.3, 4.7, 2.8, 7.4, 7.5, 7.3, 6.8, 7.6, 3.2, 4.4, 4.3, 4.5
61, 6, 6.2, 6.1, 5.5, 4.8, 2.7, 8.1, 8.1, 7.7, 7.2, 8.3, 3.8, 5.0, 4.7, 5.1
61, 7, 5.6, 5.5, 5.1, 4.4, 2.6, 7.3, 7.3, 7.0, 6.6, 7.5, 3.0, 4.1, 4.0, 4.3
61, 8, 4.8, 5.0, 4.8, 4.4, 2.8, 6.2, 6.5, 6.3, 6.0, 6.5, 2.6, 3.5, 3.6, 3.8
61, 9, 4.1, 4.9, 5.0, 4.8, 3.5, 5.8, 6.5, 6.5, 6.4, 6.5, 3.1, 3.8, 4.3, 4.3
61,10, 2.8, 3.7, 3.9, 3.9, 3.2, 3.8, 4.5, 4.7, 4.7, 4.7, 2.4, 2.3, 3.1, 3.1
61,11, 1.6, 2.3, 2.5, 2.6, 2.3, 2.1, 2.6, 2.8, 2.9, 2.9, 1.4, 1.1, 1.6, 1.7
61,12, 1.2, 1.6, 1.8, 1.9, 1.7, 1.4, 1.8, 1.9, 2.0, 2.0, 0.9, 0.5, 0.9, 1.0
62, 1, 1.6, 2.4, 2.7, 2.8, 2.7, 2.2, 2.8, 3.0, 3.1, 3.2, 1.5, 1.0, 1.6, 1.8
62, 2, 2.3, 3.0, 3.2, 3.3, 3.0, 3.0, 3.5, 3.7, 3.7, 3.7, 1.4, 1.2, 1.7, 1.8
62, 3, 3.5, 4.3, 4.4, 4.3, 3.5, 4.6, 5.2, 5.3, 5.2, 5.3, 2.3, 2.4, 3.0, 3.0
62, 4, 4.7, 5.1, 4.9, 4.5, 3.0, 6.4, 6.7, 6.7, 6.4, 6.8, 2.9, 3.9, 4.1, 4.2
62, 5, 5.7, 5.7, 5.4, 4.8, 2.8, 7.4, 7.5, 7.3, 6.9, 7.6, 3.4, 4.5, 4.5, 4.7
62, 6, 6.1, 6.0, 5.5, 4.8, 2.6, 7.9, 8.0, 7.6, 7.1, 8.1, 3.7, 4.9, 4.6, 5.0
62, 7, 5.6, 5.6, 5.2, 4.5, 2.6, 7.2, 7.2, 7.0, 6.5, 7.4, 3.1, 4.1, 3.9, 4.2
62, 8, 5.3, 5.6, 5.4, 4.9, 3.1, 7.1, 7.4, 7.3, 6.9, 7.5, 3.4, 4.5, 4.6, 4.8
62, 9, 4.1, 4.8, 4.8, 4.6, 3.3, 5.5, 6.1, 6.1, 5.9, 6.1, 2.8, 3.4, 3.8, 3.8
62,10, 2.7, 3.5, 3.7, 3.7, 3.0, 3.7, 4.3, 4.4, 4.4, 4.4, 2.1, 2.1, 2.7, 2.7
62,11, 1.6, 2.3, 2.6, 2.7, 2.4, 2.2, 2.7, 2.9, 3.0, 3.0, 1.5, 1.1, 1.7, 1.8
62,12, 1.6, 2.5, 2.9, 3.1, 3.0, 2.2, 2.9, 3.2, 3.4, 3.5, 1.9, 1.1, 1.9, 2.1
63, 1, 1.7, 2.6, 2.9, 3.1, 3.0, 2.5, 3.1, 3.3, 3.5, 3.5, 1.6, 1.2, 1.8, 1.9
63, 2, 2.6, 3.6, 4.0, 4.1, 3.8, 3.6, 4.4, 4.7, 4.8, 4.8, 2.2, 1.9, 2.7, 2.7
63, 3, 3.4, 4.1, 4.2, 4.1, 3.2, 4.5, 5.0, 5.1, 5.0, 5.1, 2.2, 2.5, 3.0, 3.0
